name,출전
上東古川,역지사지LV3
上東城里,호구총수
上東山里,호구총수
上東川,호구총수
上東幕,호구총수
上東幕里,호구총수
上東村,역지사지LV3
上東村面,호구총수
上東汗里,호구총수
上東海里,호구총수
上東車里,호구총수
上東連里,호구총수
上東邊,역지사지LV3·호구총수
上東邊里,호구총수
上東部里,호구총수
上東里,호구총수
上東門內,호구총수
上東門內里,호구총수
上東面,호구총수
上杻洞里,호구총수
上松亭里,호구총수
上松山里,호구총수
上松川里,호구총수
上松洞里,호구총수
上松溪,호구총수
上松葛里,호구총수
上松里,호구총수
上板斤,호구총수
上板橋里,호구총수
上板溪,호구총수
上板谷里,호구총수
上板里,호구총수
上林,군현역원·호구총수
上林村,호구총수
上林泉里,호구총수
上林赤里,호구총수
上林邑閭,호구총수
上林里,호구총수
上林院,군현역원
上枝,역지사지LV3
上枝面,호구총수
上柄洞坊,호구총수
上柳,역지사지LV3
上柳井里,호구총수
上柳浦里,호구총수
上柳等浦,호구총수
上柳里,호구총수
上柿里,호구총수
上栗,역지사지LV3
上栗峴里,호구총수
上栗木里,호구총수
上栗村,호구총수
上栗谷里,호구총수
上栗里,호구총수
上栗面,호구총수
上校村,호구총수
上栢,역지사지LV3
上桂谷,호구총수
上桃源,역지사지LV3
上桃里,호구총수
上桶洞里,호구총수
上梁里,호구총수
上梅谷里,호구총수
上梧井,역지사지LV3
上梧井里,호구총수
上梧亭,역지사지LV3
上梧亭面,호구총수
上梧公洞里,호구총수
上梧桐里,호구총수
上梨坪,호구총수
上梨洞里,호구총수
上梨谷,호구총수
上梯里,호구총수
上森里,호구총수
上椧谷里,호구총수
上椵南里,호구총수
上楊五里,호구총수
上楮田里,호구총수
上極只里,호구총수
上楸洞,호구총수
上楸洞里,호구총수
上槽洞里,호구총수
上樓,호구총수
上樓里,호구총수
上橋洞里,호구총수
上機地里,호구총수
上橫山,호구총수
上檜洞里,호구총수
上檢,역지사지LV3
上檢垈里,호구총수
上檢堂,호구총수
上檢里,호구총수
上武陵洞里,호구총수
上歸密里,호구총수
上歸老里,호구총수
上毛涯里,호구총수
上毛立谷,호구총수
上水,역지사지LV3
上水內里,호구총수
上水回里,호구총수
上水掘里,호구총수
上水洞里,호구총수
上水溢里契,호구총수
上水邊里,호구총수
上水里,호구총수
上水雄里,호구총수
上水項里,호구총수
上氷川里,호구총수
上求之村,호구총수
上汚禾,역지사지LV3
上池內,호구총수
上池城里,호구총수
上池洞,호구총수
上沙,역지사지LV3
上沙器,호구총수
上沙器店里,호구총수
上沙寶閭,호구총수
上沙村,호구총수
上沙池里,호구총수
上沙洞,호구총수
上沙谷里,호구총수
上沙道里,호구총수
上沙里,호구총수
上沙面,호구총수
上河波里,호구총수
上泉洞,호구총수
上泉洞里,호구총수
上泉谷里,호구총수
上泉里,호구총수
上法村,호구총수
上法林里,호구총수
上注波里,호구총수
上洑里,호구총수
上洛臺,여지도서
上洞,역지사지LV3·호구총수
上洞坊,호구총수
上洞村,호구총수
上洞花里,호구총수
上洞里,호구총수
上洞閭,호구총수
上津,신증동국여지승람
上津里,호구총수
上浦,호구총수
上浦村,호구총수
上浦里,호구총수
上深洞里,호구총수
上深谷里,호구총수
上淸安洞,호구총수
上溪,호구총수
上濟上里,호구총수
上濟下里,호구총수
上濟中里,호구총수
上濟又下里,호구총수
上炭坊,호구총수
上炭屯里,호구총수
上炭里,호구총수
上烏山里,호구총수
上烏知部曲,특수구역
上烏等里,호구총수
上烽臺,호구총수
上無等川里,호구총수
上無老谷里,호구총수
上無限里,호구총수
上照林,호구총수
上熊北里,호구총수
上燈里,호구총수
上爵達下里,호구총수
上爵達里,호구총수
上爾勿里,호구총수
上牛川,호구총수
上牛村,호구총수
上牛項里,호구총수
上牲里,호구총수
上狐里,호구총수
上狸里,호구총수
上猊來里,호구총수
上獐谷里,호구총수
上獨亭里,호구총수
上獨田里,호구총수
上玄巖,호구총수
上率洞里,호구총수
上玉前里,호구총수
上玉洞里,호구총수
上玉溪里,호구총수
上琵琶里,호구총수
上瑞巖里,호구총수
上瓦坪,호구총수
上瓦洞里,호구총수
上瓮店里,호구총수
上甁谷里,호구총수
上甑里,호구총수
上甘所大里,호구총수
上甘泉里,호구총수
上用奉,역지사지LV3
上甫亇只里,호구총수
上甫小里,호구총수
上甫靑,역지사지LV3
上田,역지사지LV3·특수구역
上田所,특수구역
上田面,호구총수
上甲破,호구총수
上甲里,호구총수
上申石里,호구총수
上界,역지사지LV3
上界面,호구총수
上畓里,호구총수
上番岩,역지사지LV3
上番巖,역지사지LV3
上番巖坊,호구총수
上登里,호구총수
上登龜村,호구총수
上發美里,호구총수
上白也谷里,호구총수
上白屋里,호구총수
上白峴,호구총수
上白巖村,호구총수
上白羊洞,호구총수
上白道里,호구총수
上皮巖里,호구총수
上盤山里,호구총수
上盤洞里,호구총수
上盤龍里,호구총수
上直川里,호구총수
上直里,호구총수
上省洞,호구총수
上看尺里,호구총수
上矢淵,신증동국여지승람
上石串里,호구총수
上石橋里,호구총수
上石淵里,호구총수
上石灘里,호구총수
上石谷,호구총수
上石谷里,호구총수
上石里,호구총수
上石鉢,호구총수
上碑前里,호구총수
上碑里,호구총수
上碣隅里,호구총수
上磻岩,역지사지LV3
上神里,호구총수
上神鶴里,호구총수
上祿後里,호구총수
上禾村,호구총수
上禾谷里,호구총수
上稧里,호구총수
上立石里,호구총수
上章里,호구총수
